,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
570,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,16
0,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15
316,0.635,0.535,0.19,1.242,0.576,0.2475,0.39,14
2956,0.65,0.565,0.2,1.6645,0.753,0.367,0.43,12
2134,0.44,0.33,0.115,0.4005,0.143,0.113,0.12,8
3089,0.455,0.35,0.11,0.458,0.2,0.111,0.1305,8
2365,0.63,0.505,0.165,1.065,0.4595,0.216,0.315,12
3373,0.54,0.405,0.155,0.9715,0.3225,0.194,0.29,19
1550,0.385,0.3,0.09,0.308,0.1525,0.056,0.0835,8
3324,0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725,12
2976,0.43,0.345,0.115,0.4295,0.212,0.108,0.109,8
754,0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,20
1209,0.78,0.63,0.215,2.657,1.488,0.4985,0.586,11
547,0.205,0.155,0.045,0.0425,0.017,0.0055,0.0155,7
23,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9
1524,0.7,0.55,0.17,1.684,0.7535,0.3265,0.32,11
2621,0.695,0.525,0.175,1.742,0.696,0.389,0.505,12
2643,0.485,0.375,0.13,0.5535,0.266,0.112,0.157,8
639,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195,13
4162,0.385,0.255,0.1,0.3175,0.137,0.068,0.092,8
2308,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11
2286,0.5,0.395,0.15,0.7145,0.3235,0.173,0.195,9
3160,0.275,0.2,0.065,0.1165,0.0565,0.013,0.035,7
934,0.45,0.355,0.105,0.4445,0.197,0.093,0.1335,8
375,0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605,20
268,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,9
3,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10
285,0.535,0.415,0.17,0.879,0.295,0.1965,0.285,10
2129,0.595,0.47,0.15,0.8915,0.359,0.2105,0.245,12
2418,0.465,0.35,0.13,0.494,0.1945,0.103,0.155,18
2001,0.36,0.27,0.085,0.2185,0.1065,0.038,0.062,6
142,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16
654,0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,10
922,0.42,0.315,0.1,0.3435,0.157,0.0795,0.09,6
2595,0.595,0.465,0.15,1.0255,0.412,0.2745,0.289,11
492,0.655,0.51,0.155,1.2895,0.5345,0.2855,0.41,11
2947,0.635,0.485,0.18,1.1795,0.4785,0.2775,0.355,10
3994,0.185,0.135,0.045,0.032,0.011,0.0065,0.01,4
2331,0.59,0.46,0.155,0.906,0.327,0.1485,0.335,15
1301,0.535,0.4,0.135,0.6025,0.2895,0.121,0.154,9
4086,0.59,0.45,0.155,0.874,0.369,0.2135,0.24,8
2496,0.52,0.4,0.13,0.6245,0.215,0.2065,0.17,15
2429,0.34,0.255,0.095,0.213,0.081,0.034,0.07,9
2474,0.605,0.49,0.145,1.3,0.517,0.3285,0.31,14
245,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,10
2305,0.55,0.415,0.135,0.775,0.302,0.179,0.26,23
1504,0.635,0.505,0.145,1.1345,0.505,0.2655,0.315,10
2023,0.53,0.405,0.13,0.6355,0.2635,0.1565,0.185,9
1006,0.605,0.47,0.165,1.2315,0.6025,0.262,0.2925,11
987,0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24,8
1364,0.61,0.48,0.165,1.244,0.6345,0.257,0.305,12
144,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10
2876,0.445,0.31,0.09,0.336,0.1555,0.09,0.0855,7
1755,0.72,0.525,0.18,1.445,0.631,0.3215,0.435,7
1704,0.64,0.515,0.18,1.247,0.5475,0.2925,0.3685,10
3724,0.485,0.365,0.15,0.9145,0.4145,0.199,0.273,7
2844,0.605,0.475,0.19,1.1255,0.59,0.247,0.26,10
2110,0.325,0.25,0.055,0.166,0.076,0.051,0.045,5
1966,0.665,0.5,0.15,1.2475,0.4625,0.2955,0.3595,10
1654,0.595,0.46,0.15,0.8335,0.377,0.1925,0.235,8
3751,0.45,0.335,0.115,0.3935,0.195,0.071,0.11,7
1847,0.47,0.375,0.12,0.487,0.196,0.099,0.135,8
2451,0.35,0.26,0.09,0.198,0.0725,0.056,0.06,10
4142,0.655,0.525,0.18,1.402,0.624,0.2935,0.365,13
89,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,12
2118,0.48,0.38,0.12,0.608,0.2705,0.1405,0.185,8
33,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19
2029,0.58,0.46,0.16,1.063,0.513,0.2705,0.2625,9
2588,0.57,0.435,0.14,0.8585,0.3905,0.196,0.2295,8
278,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,20
3358,0.285,0.215,0.075,0.106,0.0415,0.023,0.035,5
1809,0.64,0.475,0.14,1.0725,0.4895,0.2295,0.31,8
1385,0.63,0.505,0.18,1.272,0.6025,0.295,0.315,11
2656,0.545,0.42,0.12,0.7865,0.403,0.185,0.17,7
2816,0.325,0.24,0.075,0.1525,0.072,0.0645,0.043,6
566,0.485,0.355,0.13,0.581,0.245,0.132,0.168,12
1836,0.415,0.31,0.09,0.2815,0.1245,0.0615,0.085,6
3723,0.47,0.355,0.12,0.4915,0.1765,0.1125,0.1325,9
512,0.49,0.38,0.145,0.6725,0.249,0.181,0.21,10
2031,0.6,0.45,0.14,0.837,0.37,0.177,0.2425,10
205,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9
2227,0.275,0.2,0.075,0.086,0.0305,0.019,0.03,7
798,0.52,0.42,0.16,0.745,0.255,0.157,0.2885,11
693,0.38,0.29,0.12,0.283,0.1175,0.0655,0.085,9
171,0.53,0.395,0.145,0.775,0.308,0.169,0.255,7
3892,0.5,0.4,0.15,0.8085,0.273,0.112,0.295,13
2243,0.465,0.36,0.13,0.5265,0.2105,0.1185,0.165,10
2841,0.595,0.435,0.16,1.057,0.4255,0.224,0.31,9
1331,0.57,0.435,0.17,0.873,0.382,0.183,0.2705,10
1325,0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225,8
3915,0.56,0.445,0.165,1.0285,0.4535,0.253,0.275,11
1293,0.52,0.4,0.13,0.5825,0.233,0.1365,0.18,10
2317,0.515,0.42,0.14,0.769,0.2505,0.154,0.29,13
2046,0.415,0.305,0.12,0.336,0.165,0.076,0.0805,7
2262,0.58,0.455,0.16,0.9215,0.312,0.196,0.3,17
1684,0.62,0.47,0.14,0.8565,0.3595,0.16,0.295,9
1646,0.58,0.445,0.125,0.7095,0.303,0.1405,0.235,9
1897,0.57,0.415,0.13,0.88,0.4275,0.1955,0.238,13
1281,0.5,0.38,0.135,0.594,0.2945,0.104,0.1565,9
533,0.435,0.335,0.11,0.38,0.1695,0.086,0.11,9
1256,0.425,0.31,0.09,0.301,0.1385,0.065,0.08,7
2483,0.54,0.415,0.175,0.8975,0.275,0.241,0.275,14
2422,0.475,0.365,0.13,0.4805,0.1905,0.114,0.1475,12
3719,0.38,0.28,0.095,0.2885,0.165,0.0435,0.067,7
3759,0.53,0.425,0.155,0.7905,0.307,0.171,0.2595,9
2206,0.29,0.225,0.075,0.14,0.0515,0.0235,0.04,5
204,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8
1811,0.65,0.525,0.19,1.6125,0.777,0.3685,0.3965,11
4074,0.52,0.4,0.14,0.622,0.278,0.1455,0.169,8
2348,0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515,16
509,0.56,0.445,0.155,0.8735,0.3005,0.209,0.275,16
3904,0.575,0.47,0.165,0.853,0.292,0.179,0.35,16
2080,0.645,0.495,0.15,1.2095,0.603,0.2225,0.339,9
1350,0.595,0.465,0.15,0.98,0.4115,0.196,0.2255,10
2681,0.62,0.49,0.155,1.1,0.505,0.2475,0.31,9
2836,0.58,0.445,0.16,0.984,0.49,0.201,0.27,9
2577,0.505,0.385,0.12,0.6005,0.239,0.142,0.185,7
1688,0.625,0.49,0.165,1.1165,0.4895,0.2615,0.3325,11
471,0.515,0.405,0.12,0.646,0.2895,0.1405,0.177,10
1263,0.455,0.365,0.115,0.4305,0.184,0.108,0.1245,8
2591,0.585,0.45,0.16,0.9045,0.405,0.2215,0.2335,8
2855,0.655,0.515,0.155,1.309,0.524,0.346,0.385,11
3950,0.53,0.425,0.13,0.717,0.2115,0.166,0.255,13
66,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12
3989,0.67,0.52,0.195,1.8065,0.758,0.3735,0.5055,11
71,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8
3388,0.74,0.535,0.185,1.65,0.734,0.4505,0.335,13
3898,0.565,0.46,0.15,0.8765,0.3455,0.1925,0.275,10
1207,0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,11
1178,0.65,0.5,0.19,1.464,0.6415,0.339,0.4245,9
274,0.63,0.515,0.155,1.259,0.4105,0.197,0.41,13
3092,0.51,0.395,0.125,0.5805,0.244,0.1335,0.188,11
1667,0.605,0.505,0.18,1.434,0.7285,0.264,0.431,11
3432,0.36,0.27,0.09,0.219,0.097,0.0405,0.065,6
1236,0.375,0.275,0.09,0.218,0.093,0.0405,0.0755,6
531,0.46,0.355,0.13,0.458,0.192,0.1055,0.13,13
1193,0.7,0.575,0.19,2.273,1.095,0.418,0.638,12
211,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,7
1711,0.645,0.51,0.16,1.33,0.6665,0.309,0.317,9
13,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10
2035,0.66,0.515,0.195,1.5655,0.7345,0.353,0.386,9
543,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117,8
1634,0.575,0.47,0.155,1.116,0.509,0.238,0.34,10
3021,0.455,0.355,0.105,0.372,0.138,0.0765,0.135,9
3510,0.65,0.505,0.18,1.469,0.7115,0.3335,0.38,9
244,0.33,0.255,0.085,0.1655,0.063,0.039,0.06,8
1728,0.66,0.51,0.165,1.6375,0.7685,0.3545,0.3925,14
3430,0.325,0.24,0.075,0.152,0.065,0.0305,0.045,6
2000,0.355,0.27,0.105,0.271,0.1425,0.0525,0.0735,9
888,0.68,0.56,0.195,1.7775,0.861,0.322,0.415,11
2316,0.535,0.435,0.155,0.8915,0.3415,0.177,0.25,13
2941,0.63,0.48,0.165,1.2615,0.5505,0.277,0.3885,10
4096,0.635,0.5,0.175,1.477,0.684,0.3005,0.39,12
3896,0.76,0.575,0.19,1.829,0.7035,0.386,0.56,14
553,0.48,0.37,0.12,0.514,0.2075,0.131,0.155,13
1057,0.225,0.165,0.055,0.059,0.027,0.0125,0.015,4
197,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,16
2875,0.435,0.335,0.095,0.298,0.109,0.058,0.115,7
691,0.255,0.19,0.075,0.0865,0.0345,0.0205,0.025,5
4133,0.585,0.45,0.15,0.997,0.4055,0.283,0.251,11
1354,0.6,0.475,0.15,1.12,0.565,0.2465,0.27,10
795,0.515,0.405,0.145,0.695,0.215,0.1635,0.234,15
3038,0.565,0.44,0.135,0.768,0.3305,0.1385,0.2475,9
3737,0.625,0.47,0.15,1.124,0.556,0.2315,0.287,9
4116,0.625,0.48,0.16,1.2415,0.6575,0.2625,0.2785,9
1653,0.595,0.45,0.145,0.959,0.463,0.2065,0.2535,10
718,0.18,0.125,0.035,0.0265,0.0095,0.0055,0.0085,4
494,0.625,0.5,0.195,1.369,0.5875,0.2185,0.37,17
3049,0.59,0.405,0.15,0.853,0.326,0.2615,0.245,9
556,0.525,0.405,0.15,0.795,0.3075,0.205,0.255,14
2792,0.625,0.49,0.165,1.205,0.5175,0.3105,0.3465,10
1024,0.645,0.5,0.155,1.2205,0.6145,0.236,0.3185,10
1992,0.29,0.21,0.07,0.1115,0.048,0.0205,0.03,5
825,0.395,0.29,0.095,0.319,0.138,0.08,0.082,7
3658,0.535,0.45,0.155,0.8075,0.3655,0.148,0.2595,10
4046,0.6,0.46,0.155,0.6655,0.285,0.149,0.269,11
701,0.48,0.385,0.135,0.536,0.1895,0.142,0.173,14
1138,0.575,0.435,0.14,0.8455,0.401,0.191,0.222,9
3862,0.475,0.37,0.125,0.655,0.266,0.1725,0.185,10
261,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,12
1267,0.46,0.365,0.125,0.4785,0.206,0.1045,0.141,8
2459,0.585,0.47,0.17,1.099,0.3975,0.2325,0.358,20
2769,0.565,0.43,0.15,0.8215,0.332,0.1685,0.29,11
436,0.36,0.275,0.095,0.217,0.084,0.0435,0.09,7
1596,0.53,0.42,0.12,0.5965,0.2555,0.141,0.177,7
634,0.36,0.295,0.1,0.2105,0.066,0.0525,0.075,9
3572,0.585,0.46,0.165,1.058,0.486,0.25,0.294,9
2202,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295,19
1824,0.185,0.135,0.04,0.027,0.0105,0.0055,0.009,5
255,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,15
1831,0.365,0.27,0.075,0.2215,0.095,0.0445,0.07,6
3900,0.445,0.345,0.14,0.476,0.2055,0.1015,0.1085,15
247,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9
968,0.51,0.405,0.15,0.7035,0.347,0.134,0.1885,8
3637,0.435,0.325,0.1,0.342,0.1335,0.0835,0.105,6
2834,0.57,0.425,0.13,0.782,0.3695,0.1745,0.1965,8
2425,0.575,0.45,0.17,0.9315,0.358,0.2145,0.26,13
152,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,10
3279,0.655,0.53,0.19,1.428,0.493,0.318,0.565,18
735,0.51,0.39,0.125,0.6565,0.262,0.1835,0.175,10
2819,0.375,0.265,0.095,0.196,0.085,0.042,0.0585,5
780,0.56,0.41,0.165,0.93,0.3505,0.237,0.3,13
4156,0.475,0.37,0.11,0.4895,0.2185,0.107,0.146,8
2662,0.57,0.45,0.18,0.908,0.4015,0.217,0.255,9
671,0.5,0.38,0.155,0.655,0.2405,0.143,0.205,17
1136,0.575,0.46,0.145,0.9945,0.466,0.229,0.265,7
2950,0.64,0.505,0.18,1.297,0.59,0.3125,0.363,11
3123,0.575,0.45,0.135,0.9215,0.354,0.209,0.2365,9
1922,0.61,0.48,0.14,1.031,0.4375,0.2615,0.27,8
3603,0.42,0.325,0.11,0.325,0.1245,0.0755,0.1025,7
1361,0.605,0.475,0.175,1.076,0.463,0.2195,0.335,9
4014,0.625,0.48,0.175,1.065,0.4865,0.259,0.285,10
2448,0.35,0.265,0.09,0.1855,0.0745,0.0415,0.06,7
1972,0.68,0.54,0.19,1.623,0.7165,0.354,0.4715,12
2782,0.6,0.48,0.09,1.05,0.457,0.2685,0.28,8
2291,0.475,0.375,0.12,0.563,0.2525,0.1205,0.185,10
3876,0.545,0.45,0.16,0.8615,0.2925,0.1545,0.365,16
3163,0.55,0.44,0.125,0.765,0.33,0.2125,0.245,9
3929,0.65,0.515,0.215,1.498,0.564,0.323,0.425,16
2275,0.655,0.525,0.185,1.259,0.487,0.2215,0.445,20
3202,0.62,0.485,0.22,1.511,0.5095,0.284,0.51,17
2489,0.49,0.39,0.135,0.592,0.242,0.096,0.1835,15
3036,0.55,0.445,0.145,0.783,0.3045,0.157,0.265,11
851,0.555,0.435,0.145,0.9685,0.4985,0.168,0.2385,9
1502,0.63,0.48,0.15,1.271,0.6605,0.2425,0.31,11
3480,0.45,0.34,0.105,0.4385,0.21,0.0925,0.12,8
519,0.345,0.25,0.09,0.203,0.078,0.059,0.055,6
1181,0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,10
218,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10
1806,0.625,0.49,0.185,1.169,0.5275,0.2535,0.344,11
2658,0.55,0.42,0.13,0.636,0.294,0.144,0.1755,8
995,0.58,0.49,0.13,1.1335,0.586,0.2565,0.237,9
518,0.325,0.23,0.09,0.147,0.06,0.034,0.045,4
3846,0.37,0.275,0.085,0.2045,0.096,0.056,0.08,6
1029,0.645,0.5,0.16,1.2465,0.5475,0.327,0.3,10
867,0.615,0.5,0.175,1.377,0.5585,0.33,0.292,12
1275,0.48,0.37,0.125,0.5435,0.244,0.101,0.165,9
532,0.47,0.37,0.12,0.4705,0.1845,0.1055,0.155,12
1279,0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,7
1998,0.35,0.235,0.08,0.17,0.0725,0.0465,0.0495,7
1235,0.375,0.29,0.085,0.2385,0.118,0.045,0.0695,7
1444,0.425,0.34,0.105,0.389,0.2015,0.0905,0.088,6
2095,0.415,0.3,0.1,0.3355,0.1545,0.0685,0.095,7
67,0.595,0.495,0.185,1.285,0.416,0.224,0.485,13
2994,0.61,0.475,0.175,1.024,0.409,0.261,0.322,9
383,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,12
4042,0.575,0.46,0.165,0.9575,0.4815,0.1945,0.236,10
3920,0.295,0.23,0.085,0.125,0.042,0.0285,0.043,8
441,0.335,0.26,0.1,0.192,0.0785,0.0585,0.07,8
1371,0.615,0.5,0.17,1.054,0.4845,0.228,0.295,10
3118,0.51,0.415,0.145,0.751,0.3295,0.1835,0.203,8
1607,0.54,0.425,0.135,0.686,0.3475,0.1545,0.213,8
3651,0.525,0.405,0.125,0.657,0.2985,0.1505,0.168,10
942,0.465,0.37,0.115,0.534,0.261,0.098,0.143,7
3949,0.525,0.415,0.15,0.7155,0.2355,0.171,0.27,13
581,0.55,0.425,0.15,0.806,0.376,0.171,0.245,14
17,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10
1448,0.44,0.365,0.11,0.4465,0.213,0.089,0.1135,9
921,0.42,0.32,0.115,0.376,0.169,0.092,0.1,5
4049,0.625,0.495,0.155,1.025,0.46,0.1945,0.34,9
4144,0.67,0.535,0.19,1.669,0.7465,0.2935,0.508,11
861,0.595,0.465,0.14,1.113,0.5175,0.244,0.305,12
3502,0.61,0.47,0.175,1.214,0.5315,0.2835,0.325,10
2767,0.56,0.44,0.14,0.825,0.402,0.139,0.245,10
3194,0.61,0.47,0.16,1.017,0.426,0.2255,0.32,12
2970,0.69,0.515,0.18,1.8445,0.9815,0.4655,0.341,13
425,0.58,0.45,0.175,1.068,0.425,0.203,0.32,13
1658,0.6,0.48,0.17,0.9175,0.38,0.2225,0.29,8
3468,0.665,0.52,0.165,1.6885,0.7295,0.407,0.4265,11
1303,0.535,0.41,0.13,0.7145,0.335,0.144,0.2075,9
1532,0.285,0.21,0.055,0.101,0.0415,0.017,0.0335,5
1715,0.645,0.485,0.15,1.2215,0.5695,0.2735,0.33,9
1539,0.355,0.26,0.09,0.1985,0.0715,0.0495,0.058,7
3183,0.565,0.44,0.115,0.9185,0.404,0.1785,0.29,11
1665,0.605,0.48,0.14,0.991,0.4735,0.2345,0.24,8
985,0.57,0.45,0.155,1.1935,0.513,0.21,0.343,10
1490,0.605,0.485,0.16,1.201,0.417,0.2875,0.38,9
3161,0.335,0.22,0.07,0.17,0.076,0.0365,0.05,6
1319,0.555,0.425,0.145,0.7905,0.3485,0.1765,0.225,9
3820,0.57,0.44,0.145,0.8815,0.3605,0.1955,0.2735,10
653,0.31,0.225,0.08,0.1345,0.054,0.024,0.05,7
2016,0.505,0.39,0.12,0.653,0.3315,0.1385,0.167,9
2267,0.61,0.48,0.175,1.0675,0.391,0.216,0.42,15
1905,0.575,0.45,0.135,0.8715,0.45,0.162,0.225,10
4136,0.615,0.495,0.155,1.0805,0.52,0.19,0.32,9
2426,0.565,0.435,0.155,0.782,0.2715,0.168,0.285,14
511,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,10
1843,0.435,0.33,0.105,0.335,0.156,0.0555,0.105,8
4148,0.77,0.605,0.175,2.0505,0.8005,0.526,0.355,11
2462,0.44,0.325,0.08,0.413,0.144,0.1015,0.13,8
2457,0.25,0.185,0.065,0.071,0.027,0.0185,0.0225,5
3472,0.165,0.12,0.05,0.021,0.0075,0.0045,0.014,3
1819,0.695,0.53,0.19,1.726,0.7625,0.436,0.455,11
299,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,9
520,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,3
3894,0.495,0.38,0.135,0.6295,0.263,0.1425,0.215,12
3784,0.62,0.48,0.155,1.2555,0.527,0.374,0.3175,11
3988,0.665,0.515,0.165,1.3855,0.621,0.302,0.3445,8
1610,0.545,0.42,0.125,0.717,0.358,0.112,0.22,8
2650,0.51,0.395,0.155,0.5395,0.2465,0.1085,0.167,8
998,0.59,0.455,0.145,1.063,0.5155,0.2445,0.25,8
1771,0.455,0.325,0.135,0.82,0.4005,0.1715,0.211,8
982,0.56,0.455,0.16,0.967,0.4525,0.207,0.274,9
3978,0.485,0.39,0.12,0.599,0.251,0.1345,0.169,8
830,0.415,0.305,0.1,0.325,0.156,0.0505,0.091,6
3105,0.29,0.215,0.06,0.1115,0.053,0.0185,0.032,5
2909,0.58,0.45,0.15,0.92,0.393,0.212,0.2895,9
3520,0.72,0.545,0.185,1.7185,0.7925,0.401,0.468,11
2469,0.54,0.415,0.13,0.8245,0.272,0.226,0.24,13
3382,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,15
287,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,17
2584,0.54,0.435,0.14,0.7345,0.33,0.1595,0.213,9
822,0.38,0.275,0.095,0.1375,0.086,0.0585,0.0605,7
3635,0.37,0.275,0.095,0.257,0.1015,0.055,0.0825,6
3030,0.52,0.395,0.115,0.6445,0.3155,0.1245,0.186,11
3273,0.475,0.375,0.14,0.501,0.192,0.1175,0.175,13
2285,0.42,0.33,0.1,0.352,0.1635,0.089,0.1,9
1666,0.605,0.47,0.155,0.974,0.393,0.224,0.3345,9
1489,0.605,0.485,0.165,0.9515,0.4535,0.193,0.2765,11
2756,0.525,0.4,0.13,0.6445,0.345,0.1285,0.2,8
2107,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,15
1291,0.515,0.42,0.135,0.711,0.337,0.144,0.205,13
92,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13
2815,0.32,0.235,0.09,0.183,0.098,0.0335,0.042,7
3305,0.6,0.445,0.175,1.057,0.383,0.216,0.355,16
1626,0.57,0.45,0.135,0.7805,0.3345,0.185,0.21,8
3977,0.475,0.35,0.12,0.4905,0.2035,0.13,0.135,7
3232,0.485,0.41,0.15,0.696,0.2405,0.1625,0.265,13
3297,0.645,0.5,0.19,1.229,0.524,0.278,0.395,17
311,0.56,0.44,0.14,0.971,0.443,0.2045,0.265,14
4029,0.435,0.335,0.11,0.334,0.1355,0.0775,0.0965,7
2396,0.625,0.465,0.155,0.972,0.404,0.1845,0.35,14
2327,0.475,0.395,0.135,0.592,0.2465,0.1645,0.2,13
2772,0.58,0.44,0.175,1.2255,0.5405,0.2705,0.3265,10
3503,0.615,0.49,0.19,1.1345,0.4695,0.257,0.348,11
3340,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17
1791,0.55,0.42,0.16,1.3405,0.6325,0.311,0.344,10
1280,0.495,0.395,0.12,0.553,0.224,0.1375,0.167,8
3619,0.64,0.5,0.17,1.12,0.4955,0.2645,0.32,12
3855,0.41,0.335,0.115,0.4405,0.19,0.085,0.135,8
3150,0.655,0.505,0.165,1.367,0.5835,0.3515,0.396,10
3231,0.41,0.325,0.12,0.3745,0.158,0.081,0.125,12
475,0.53,0.415,0.175,0.7395,0.261,0.1395,0.2645,17
2541,0.69,0.55,0.18,1.659,0.8715,0.2655,0.4395,9
623,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,17
1445,0.43,0.34,0.105,0.4405,0.2385,0.0745,0.1075,6
2341,0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045,7
163,0.725,0.56,0.21,2.141,0.65,0.398,1.005,18
3956,0.515,0.395,0.14,0.686,0.281,0.1255,0.22,12
1932,0.62,0.495,0.17,1.062,0.372,0.213,0.34,11
4121,0.455,0.35,0.13,0.4725,0.215,0.0745,0.15,9
2488,0.5,0.385,0.145,0.7615,0.246,0.195,0.204,14
473,0.52,0.405,0.12,0.627,0.2645,0.1415,0.181,11
3300,0.615,0.5,0.205,1.1055,0.4445,0.227,0.39,16
153,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10
596,0.55,0.43,0.14,0.7135,0.2565,0.186,0.225,9
3025,0.495,0.33,0.1,0.44,0.177,0.095,0.15,7
2920,0.6,0.45,0.195,1.34,0.617,0.3255,0.3605,10
2910,0.58,0.445,0.15,0.9525,0.4315,0.1945,0.287,11
3307,0.45,0.325,0.135,0.438,0.1805,0.1165,0.11,9
3258,0.455,0.375,0.125,0.484,0.2155,0.102,0.165,7
292,0.61,0.475,0.165,1.116,0.428,0.2205,0.315,15
3753,0.475,0.36,0.11,0.452,0.191,0.099,0.13,8
1982,0.72,0.565,0.19,2.081,1.0815,0.4305,0.503,11
1823,0.73,0.575,0.21,2.069,0.9285,0.409,0.643,11
1462,0.495,0.38,0.12,0.573,0.2655,0.1285,0.144,7
1382,0.625,0.515,0.16,1.264,0.5715,0.326,0.321,9
2949,0.635,0.515,0.16,1.2075,0.5385,0.282,0.345,11
225,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,9
2905,0.575,0.45,0.165,0.9655,0.498,0.19,0.23,8
4002,0.485,0.375,0.125,0.562,0.2505,0.1345,0.1525,8
1686,0.62,0.48,0.15,1.266,0.6285,0.2575,0.309,12
1619,0.56,0.445,0.15,0.8225,0.3685,0.187,0.236,10
3557,0.54,0.41,0.135,0.7025,0.31,0.177,0.2,8
2038,0.28,0.215,0.08,0.132,0.072,0.022,0.033,5
2783,0.6,0.495,0.185,1.1145,0.5055,0.2635,0.367,11
1990,0.28,0.2,0.065,0.0895,0.036,0.0185,0.03,7
4127,0.55,0.445,0.11,0.7935,0.378,0.142,0.26,10
2673,0.595,0.47,0.165,1.108,0.4915,0.2325,0.3345,9
3234,0.59,0.485,0.205,1.2315,0.4525,0.238,0.42,13
2250,0.655,0.59,0.2,1.5455,0.654,0.3765,0.415,11
3948,0.53,0.4,0.165,0.772,0.2855,0.1975,0.23,12
1935,0.62,0.485,0.155,1.0295,0.425,0.2315,0.335,12
3309,0.485,0.355,0.12,0.5085,0.21,0.122,0.135,9
1552,0.39,0.285,0.1,0.281,0.1275,0.062,0.077,7
544,0.38,0.29,0.105,0.257,0.099,0.051,0.085,10
322,0.385,0.31,0.1,0.2845,0.1065,0.075,0.1,11
410,0.59,0.5,0.165,1.1045,0.4565,0.2425,0.34,15
2776,0.585,0.465,0.165,0.885,0.4025,0.1625,0.274,10
2050,0.45,0.35,0.13,0.4655,0.2075,0.1045,0.135,8
2025,0.55,0.47,0.15,0.9205,0.381,0.2435,0.2675,10
3617,0.62,0.46,0.16,0.9505,0.4915,0.2,0.228,9
959,0.5,0.385,0.135,0.6425,0.3195,0.129,0.1535,7
368,0.63,0.49,0.18,1.13,0.458,0.2765,0.315,12
2885,0.505,0.4,0.125,0.5605,0.2255,0.1435,0.17,8
3082,0.755,0.575,0.2,2.073,1.0135,0.4655,0.48,11
3702,0.665,0.54,0.195,1.764,0.8505,0.3615,0.47,11
1734,0.67,0.505,0.16,1.2585,0.6255,0.311,0.308,12
564,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185,14
3072,0.66,0.53,0.18,1.5175,0.7765,0.302,0.401,10
2706,0.725,0.53,0.19,1.7315,0.83,0.398,0.405,11
2125,0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15,8
408,0.555,0.45,0.145,0.915,0.4,0.246,0.285,11
1620,0.56,0.44,0.13,0.7235,0.349,0.149,0.2,8
3837,0.17,0.105,0.035,0.034,0.012,0.0085,0.005,4
